"","(Intercept)","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","OverallQual","TotalBsmtSF","GrLivArea","KitchenQualFa","KitchenQualGd","KitchenQualTA","GarageArea","BsmtFinSF1","BsmtFinType1BLQ","BsmtFinType1GLQ","BsmtFinType1LwQ","BsmtFinType1NoBasement","BsmtFinType1Rec","BsmtFinType1Unf","OverallCond","LotArea","X1stFlrSF"
"909",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,861.589658950783,899.116041347238,0,0,1,484,300.027315099676,1,0,0,0,0,0,5,8883.94634315856,898.99259288921
"1413",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.41034104921716,1037.11604134724,0,0,1,420,-0.972684900323611,0,0,0,1,0,0,5,7198.94634315856,1036.99259288921
"1362",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1527.58965895078,1527.11604134724,0,1,0,430,1273.02731509968,0,0,0,0,0,0,5,16156.9463431586,1526.99259288921
"1036",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.41034104921716,842.116041347238,0,0,1,290,-0.972684900323611,0,0,0,1,0,0,3,11498.9463431586,841.99259288921
"439",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,437.589658950783,691.116041347238,0,1,0,352,364.027315099676,0,0,1,0,0,0,6,4278.94634315856,690.99259288921
"57",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,967.589658950783,1736.11604134724,0,1,0,480,648.027315099676,0,1,0,0,0,0,5,2643.94634315856,979.99259288921
"163",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1538.58965895078,1538.11604134724,0,1,0,532,1200.02731509968,1,0,0,0,0,0,5,12180.9463431586,1537.99259288921
"1232",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1103.58965895078,1187.11604134724,0,0,1,540,802.027315099676,0,0,0,0,0,0,6,7726.94634315856,1186.99259288921
"182",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,790.589658950783,1799.11604134724,0,0,1,216,351.027315099676,0,0,1,0,0,0,6,7586.94634315856,897.99259288921
"155",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1197.58965895078,1197.11604134724,0,0,1,312,-0.972684900323611,0,0,0,0,0,1,5,11338.9463431586,1196.99259288921
"259",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,960.589658950783,1789.11604134724,0,1,0,564,360.027315099676,0,1,0,0,0,0,5,12433.9463431586,959.99259288921
"265",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,677.589658950783,761.116041347238,0,0,1,504,-0.972684900323611,0,0,0,0,0,1,5,5230.94634315856,760.99259288921
"1422",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1066.58965895078,1066.11604134724,0,0,1,440,359.027315099676,0,0,0,0,0,0,5,4041.94634315856,1065.99259288921
"1145",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669.589658950783,921.116041347238,1,0,0,280,347.027315099676,1,0,0,0,0,0,4,12178.9463431586,668.99259288921
"381",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1023.58965895078,1688.11604134724,0,1,0,308,217.027315099676,0,0,1,0,0,0,6,4998.94634315856,1022.99259288921
"591",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,767.589658950783,1579.11604134724,0,1,0,520,489.027315099676,0,1,0,0,0,0,5,8318.94634315856,766.99259288921
"1317",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1619.58965895078,1627.11604134724,0,0,0,860,-0.972684900323611,0,0,0,0,0,1,5,10224.9463431586,1626.99259288921
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,726.589658950783,1455.11604134724,0,0,1,440,418.027315099676,0,1,0,0,0,0,5,3228.94634315856,725.99259288921
"1341",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,855.589658950783,869.116041347238,0,0,1,480,-0.972684900323611,0,0,0,0,0,1,5,8292.94634315856,868.99259288921
"59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1407.58965895078,2942.11604134724,0,1,0,641,-0.972684900323611,0,0,0,0,0,1,5,13680.9463431586,1422.99259288921
"1078",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1093.58965895078,1093.11604134724,0,0,1,299,74.0273150996764,1,0,0,0,0,0,5,15868.9463431586,1092.99259288921
"781",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1234.58965895078,1250.11604134724,0,0,1,402,-0.972684900323611,0,0,0,0,0,1,5,7873.94634315856,1249.99259288921
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1841.58965895078,1841.11604134724,0,0,1,546,704.027315099676,1,0,0,0,0,0,6,11749.9463431586,1840.99259288921
"1400",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,973.589658950783,1605.11604134724,0,1,0,216,263.027315099676,1,0,0,0,0,0,6,6169.94634315856,1156.99259288921
"534",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.41034104921716,331.116041347238,1,0,0,0,-0.972684900323611,0,0,0,1,0,0,3,4998.94634315856,330.99259288921
"433",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,762.589658950783,1362.11604134724,0,0,1,440,470.027315099676,0,0,0,0,0,0,5,1918.94634315856,761.99259288921
"1143",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1463.58965895078,2825.11604134724,0,1,0,1052,1149.02731509968,0,1,0,0,0,0,5,9963.94634315856,1462.99259288921
"204",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,845.589658950783,845.116041347238,0,1,0,420,661.027315099676,0,1,0,0,0,0,5,4436.94634315856,844.99259288921
"937",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1173.58965895078,1197.11604134724,0,1,0,555,832.027315099676,0,1,0,0,0,0,5,10081.9463431586,1196.99259288921
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1765.58965895078,1765.11604134724,0,0,1,0,-0.972684900323611,0,0,0,0,0,1,5,10776.9463431586,1764.99259288921
"461",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,829.589658950783,1932.11604134724,0,0,1,552,543.027315099676,0,1,0,0,0,0,5,8002.94634315856,828.99259288921
"1173",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,622.589658950783,1247.11604134724,0,1,0,625,-0.972684900323611,0,0,0,0,0,1,5,4015.94634315856,621.99259288921
"222",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1007.58965895078,2264.11604134724,0,1,0,390,-0.972684900323611,0,0,0,0,0,1,5,8066.94634315856,1006.99259288921
"1272",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1486.58965895078,1486.11604134724,0,1,0,462,-0.972684900323611,0,0,0,0,0,1,7,9154.94634315856,1485.99259288921
"825",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1486.58965895078,1486.11604134724,0,1,0,776,-0.972684900323611,0,0,0,0,0,1,5,11214.9463431586,1485.99259288921
"306",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1997.58965895078,1997.11604134724,0,1,0,888,1463.02731509968,0,1,0,0,0,0,5,10384.9463431586,1996.99259288921
"566",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,803.589658950783,1644.11604134724,1,0,0,216,-0.972684900323611,0,0,0,0,0,1,4,6856.94634315856,837.99259288921
"95",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,821.589658950783,1783.11604134724,0,1,0,684,647.027315099676,0,1,0,0,0,0,5,9335.94634315856,901.99259288921
"404",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1138.58965895078,2260.11604134724,0,1,0,420,-0.972684900323611,0,0,0,0,0,1,5,12088.9463431586,1161.99259288921
"1105",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,627.589658950783,1299.11604134724,0,0,1,440,-0.972684900323611,0,0,0,0,0,1,5,2014.94634315856,626.99259288921
"712",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,856.589658950783,1175.11604134724,0,0,1,384,-0.972684900323611,0,0,0,0,0,1,7,8710.94634315856,855.99259288921
"757",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,863.589658950783,1765.11604134724,0,1,0,578,19.0273150996764,0,1,0,0,0,0,5,10767.9463431586,862.99259288921
"356",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1197.58965895078,1197.11604134724,0,1,0,521,333.027315099676,0,0,0,0,0,0,5,11247.9463431586,1196.99259288921
"1283",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1037.58965895078,1037.11604134724,0,1,0,484,531.027315099676,0,0,1,0,0,0,7,8798.94634315856,1036.99259288921
"1131",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1119.58965895078,1978.11604134724,0,1,0,576,621.027315099676,1,0,0,0,0,0,3,7802.94634315856,1324.99259288921
"970",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,585.589658950783,1092.11604134724,0,0,1,264,512.027315099676,0,0,0,0,0,0,5,10380.9463431586,1091.99259288921
"1081",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1255.58965895078,1255.11604134724,0,1,0,528,655.027315099676,0,0,0,0,0,0,7,11038.9463431586,1254.99259288921
"920",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1181.58965895078,1411.11604134724,0,0,1,601,527.027315099676,0,0,0,0,0,0,8,11027.9463431586,1410.99259288921
"885",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,889.589658950783,889.116041347238,0,0,1,288,431.027315099676,1,0,0,0,0,0,5,7148.94634315856,888.99259288921
"303",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1538.58965895078,1538.11604134724,0,1,0,843,-0.972684900323611,0,0,0,0,0,1,5,13702.9463431586,1537.99259288921
"861",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,909.589658950783,1423.11604134724,0,1,0,216,-0.972684900323611,0,0,0,0,0,1,8,7640.94634315856,908.99259288921
"1113",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,813.589658950783,813.116041347238,0,0,1,308,707.027315099676,0,1,0,0,0,0,7,7098.94634315856,812.99259288921
"331",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1725.58965895078,1725.11604134724,0,0,1,352,39.0273150996764,0,1,0,0,0,0,4,10622.9463431586,1724.99259288921
"450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,646.589658950783,1180.11604134724,0,0,1,308,330.027315099676,0,0,0,0,0,0,7,5998.94634315856,675.99259288921
"914",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,998.589658950783,1999.11604134724,0,0,1,871,283.027315099676,1,0,0,0,0,0,6,6268.94634315856,997.99259288921
"87",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,681.589658950783,1557.11604134724,0,1,0,400,-0.972684900323611,0,0,0,0,0,1,5,11909.9463431586,680.99259288921
"409",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1060.58965895078,2169.11604134724,0,1,0,947,-0.972684900323611,0,0,0,0,0,1,5,14152.9463431586,1067.99259288921
"497",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3197.58965895078,3225.11604134724,0,1,0,546,1230.02731509968,0,1,0,0,0,0,5,12690.9463431586,3224.99259288921
"176",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1199.58965895078,2155.11604134724,0,1,0,576,476.027315099676,0,0,0,0,0,0,7,12613.9463431586,2154.99259288921
"1304",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1613.58965895078,1613.11604134724,0,1,0,834,-0.972684900323611,0,0,0,0,0,1,5,8686.94634315856,1612.99259288921
"1086",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,933.589658950783,993.116041347238,0,1,0,564,746.027315099676,0,1,0,0,0,0,6,9067.94634315856,992.99259288921
"1107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,907.589658950783,1439.11604134724,0,1,0,719,737.027315099676,0,1,0,0,0,0,5,10355.9463431586,1438.99259288921
"198",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1357.58965895078,3109.11604134724,0,1,0,795,1035.02731509968,0,1,0,0,0,0,4,25417.9463431586,1356.99259288921
"1333",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,813.589658950783,813.116041347238,0,0,1,288,689.027315099676,0,0,0,0,0,0,6,8875.94634315856,812.99259288921
"429",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1205.58965895078,1205.11604134724,0,1,0,628,663.027315099676,0,1,0,0,0,0,5,6760.94634315856,1204.99259288921
"754",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1027.58965895078,2095.11604134724,0,0,0,878,-0.972684900323611,0,0,0,0,0,1,5,10238.9463431586,1034.99259288921
"300",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1089.58965895078,1149.11604134724,0,1,0,300,-0.972684900323611,0,0,0,0,0,1,8,13998.9463431586,1148.99259288921
"522",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1241.58965895078,1241.11604134724,0,0,1,336,776.027315099676,0,0,0,0,1,0,6,11986.9463431586,1240.99259288921
"191",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,850.589658950783,2724.11604134724,0,1,0,440,296.027315099676,0,0,0,0,1,0,8,10568.9463431586,1545.99259288921
"410",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1031.58965895078,2075.11604134724,0,0,0,836,788.027315099676,0,1,0,0,0,0,5,10798.9463431586,1046.99259288921
"805",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,933.589658950783,1125.11604134724,0,0,1,286,811.027315099676,0,0,1,0,0,0,5,8998.94634315856,1124.99259288921
"1382",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1202.58965895078,2114.11604134724,0,0,1,550,864.027315099676,1,0,0,0,0,0,7,12923.9463431586,2113.99259288921
"71",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2220.58965895078,2220.11604134724,0,0,1,516,1879.02731509968,0,0,0,0,0,0,6,13649.9463431586,2219.99259288921
"868",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1037.58965895078,1117.11604134724,1,0,0,544,931.027315099676,0,0,0,0,0,0,5,6968.94634315856,1116.99259288921
"1386",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,793.589658950783,1151.11604134724,0,1,0,240,734.027315099676,1,0,0,0,0,0,8,5434.94634315856,792.99259288921
"1084",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1248.58965895078,1248.11604134724,0,0,1,461,552.027315099676,1,0,0,0,0,0,6,8798.94634315856,1247.99259288921
"313",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,790.589658950783,1115.11604134724,0,0,1,410,506.027315099676,0,0,0,0,1,0,7,7798.94634315856,789.99259288921
"935",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,582.589658950783,2066.11604134724,0,1,0,505,424.027315099676,0,1,0,0,0,0,7,27648.9463431586,2065.99259288921
"91",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.41034104921716,1037.11604134724,0,0,1,420,-0.972684900323611,0,0,0,1,0,0,5,7198.94634315856,1036.99259288921
"1453",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,544.589658950783,1069.11604134724,0,0,1,525,546.027315099676,0,1,0,0,0,0,5,3673.94634315856,1068.99259288921
"519",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,791.589658950783,1793.11604134724,0,0,1,546,705.027315099676,0,1,0,0,0,0,5,9529.94634315856,878.99259288921
"120",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,725.589658950783,1453.11604134724,0,1,0,390,-0.972684900323611,0,0,0,0,0,1,5,8459.94634315856,724.99259288921
"366",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,669.589658950783,1341.11604134724,0,0,1,468,455.027315099676,0,0,0,0,1,0,7,10688.9463431586,668.99259288921
"918",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1131.58965895078,1226.11604134724,0,0,1,284,1058.02731509968,0,0,0,0,0,0,6,17138.9463431586,1225.99259288921
"1182",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1597.58965895078,1649.11604134724,0,1,0,482,1479.02731509968,0,1,0,0,0,0,5,5585.94634315856,1648.99259288921
"643",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1949.58965895078,2701.11604134724,0,0,0,538,1409.02731509968,0,1,0,0,0,0,7,13858.9463431586,1996.99259288921
"915",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,609.589658950783,1221.11604134724,0,1,0,528,293.027315099676,0,1,0,0,0,0,5,2998.94634315856,608.99259288921
"78",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,669.589658950783,1282.11604134724,0,0,1,240,335.027315099676,1,0,0,0,0,0,5,8633.94634315856,1068.99259288921
"767",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,977.589658950783,1711.11604134724,0,0,1,496,393.027315099676,0,1,0,0,0,0,5,10419.9463431586,976.99259288921
"762",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1142.58965895078,1298.11604134724,1,0,0,440,404.027315099676,0,0,1,0,0,0,5,6909.94634315856,1297.99259288921
"506",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,957.589658950783,1957.11604134724,0,0,1,400,-0.972684900323611,0,0,0,0,0,1,5,7594.94634315856,956.99259288921
"476",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,967.589658950783,967.116041347238,0,0,1,624,629.027315099676,0,1,0,0,0,0,6,8478.94634315856,966.99259288921
"612",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1029.58965895078,1029.11604134724,0,0,1,564,604.027315099676,0,0,0,0,0,0,6,10393.9463431586,1028.99259288921
"1009",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1707.58965895078,1707.11604134724,0,1,0,550,-0.972684900323611,0,0,0,0,0,1,5,12116.9463431586,1706.99259288921
"251",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,725.589658950783,1303.11604134724,1,0,0,0,-0.972684900323611,0,0,0,0,0,1,2,5348.94634315856,1302.99259288921
"1273",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,932.589658950783,932.116041347238,0,0,1,288,559.027315099676,1,0,0,0,0,0,6,13524.9463431586,931.99259288921
"456",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1239.58965895078,1239.11604134724,0,0,1,528,915.027315099676,0,0,0,0,0,0,6,9598.94634315856,1238.99259288921
"361",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,885.589658950783,909.116041347238,0,0,1,470,772.027315099676,0,1,0,0,0,0,6,7538.94634315856,908.99259288921
"1102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,947.589658950783,947.116041347238,0,0,1,280,411.027315099676,1,0,0,0,0,0,5,9756.94634315856,946.99259288921
"192",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,722.589658950783,1476.11604134724,0,1,0,484,625.027315099676,0,0,0,0,0,0,9,7470.94634315856,721.99259288921
"533",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,-2.41034104921716,824.116041347238,0,0,1,392,-0.972684900323611,0,0,0,1,0,0,7,7198.94634315856,823.99259288921
"1396",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1091.58965895078,2479.11604134724,0,1,0,642,-0.972684900323611,0,0,0,0,0,1,5,12663.9463431586,1129.99259288921
"608",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,893.589658950783,2005.11604134724,0,0,0,230,602.027315099676,0,1,0,0,0,0,8,7798.94634315856,1108.99259288921
"707",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1640.58965895078,1821.11604134724,0,1,0,739,1218.02731509968,0,1,0,0,0,0,5,115147.946343159,1820.99259288921
"1052",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1313.58965895078,1313.11604134724,0,1,0,440,-0.972684900323611,0,0,0,0,0,1,5,11173.9463431586,1312.99259288921
"250",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1441.58965895078,2141.11604134724,0,1,0,389,696.027315099676,0,0,0,0,1,0,7,158998.946343159,1440.99259288921
"1169",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1124.58965895078,2105.11604134724,0,1,0,540,625.027315099676,0,0,0,0,1,0,7,13726.9463431586,1232.99259288921
"855",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1760.58965895078,1776.11604134724,0,0,1,454,305.027315099676,0,0,0,0,0,0,4,17918.9463431586,1775.99259288921
"891",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,669.589658950783,921.116041347238,0,0,1,576,-0.972684900323611,0,0,0,0,0,1,7,8062.94634315856,668.99259288921
"122",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,729.589658950783,1120.11604134724,0,0,1,264,-0.972684900323611,0,0,0,0,0,1,5,6058.94634315856,768.99259288921
"1030",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,669.589658950783,1215.11604134724,0,0,1,264,316.027315099676,1,0,0,0,0,0,7,1678.94634315856,668.99259288921
"158",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,771.589658950783,1965.11604134724,0,0,0,680,-0.972684900323611,0,0,0,0,0,1,5,12001.9463431586,770.99259288921
"1167",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1691.58965895078,1691.11604134724,0,1,0,776,-0.972684900323611,0,0,0,0,0,1,5,10473.9463431586,1690.99259288921
"987",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,482.589658950783,1632.11604134724,0,1,0,255,-0.972684900323611,0,0,0,0,0,1,8,5308.94634315856,997.99259288921
"540",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1578.58965895078,1598.11604134724,0,1,0,670,1357.02731509968,0,1,0,0,0,0,5,11421.9463431586,1597.99259288921
"165",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1146.58965895078,1613.11604134724,0,1,0,216,369.027315099676,0,0,1,0,0,0,7,5398.94634315856,1145.99259288921
